Designator,Mid X,Mid Y,Rotation,Layer
C1,117.340625,-44.165625,0.0,top
C10,136.090625,-68.365625,0.0,top
C11,136.090625,-65.165625,0.0,top
C12,126.490625,-66.365625,90.0,top
C13,153.730625,-74.485625,180.0,top
C14,159.690625,-43.165625,90.0,top
C15,146.290625,-41.260512,90.0,top
C2,139.290625,-36.765625,270.0,top
C23,146.290625,-35.570737,270.0,top
C3,122.940625,-44.165625,180.0,top
C4,129.690625,-50.365625,0.0,top
C5,129.690625,-53.565625,180.0,top
C7,154.890625,-49.165625,270.0,top
C8,147.290625,-69.560512,90.0,top
C9,141.690625,-69.570737,270.0,top
D1,150.690625,-31.165625,0.0,top
D4,140.890625,-61.565625,270.0,top
D5,144.090625,-61.565625,90.0,top
D8,144.490625,-50.765625,270.0,top
Q1,133.690625,-36.765625,270.0,top
Q2,129.250625,-46.035625,270.0,top
Q3,160.090625,-61.125625,180.0,top
R1,121.690625,-36.165625,270.0,top
R10,137.690625,-49.445625,270.0,top
R11,151.690625,-52.645625,270.0,top
R13,154.890625,-65.165625,90.0,top
R14,151.690625,-65.165625,90.0,top
R15,132.490625,-58.765625,180.0,top
R16,132.490625,-61.965625,180.0,top
R17,125.690625,-71.165625,0.0,top
R18,132.090625,-74.365625,0.0,top
R19,144.610625,-74.365625,0.0,top
R2,125.690625,-36.165625,270.0,top
R20,161.290625,-69.845625,90.0,top
R21,158.090625,-69.845625,270.0,top
R22,158.090625,-52.365625,90.0,top
R23,161.690625,-52.245625,90.0,top
R24,150.690625,-39.165625,270.0,top
R25,154.690625,-39.165625,90.0,top
R3,129.690625,-36.165625,90.0,top
R39,141.290625,-49.445625,270.0,top
R4,137.410625,-41.165625,180.0,top
R5,120.610625,-47.565625,0.0,top
R7,120.610625,-50.765625,180.0,top
R8,120.610625,-53.965625,180.0,top
R9,134.090625,-49.445625,90.0,top
U1,148.060625,-56.415625,90.0,top
VR1,154.890625,-53.753125,180.0,top
VR2,136.703125,-71.165625,90.0,top
VR3,129.690625,-64.953125,180.0,top
